OBJECT_NAME,OBJECT_ID,NORAD_CAT_ID,OBJECT_TYPE,OPS_STATUS_CODE,OWNER,LAUNCH_DATE,LAUNCH_SITE,DECAY_DATE,PERIOD,INCLINATION,APOGEE,PERIGEE,RCS,DATA_STATUS_CODE,ORBIT_CENTER,ORBIT_TYPE
IRNSS-1E,2016-003A,41241,PAY,P,IND,1/20/2016,SRILR,,1436.1,32.84,35878,35695,9.9385,,EA,ORB
PSLV R/B,2016-003B,41242,R/B,,IND,1/20/2016,SRILR,,357.32,18.96,20318,286,7.5898,,EA,ORB
IRNSS-1F,2016-015A,41384,PAY,+,IND,3/10/2016,SRILR,,1436.04,4.9,35881,35690,0.003,,EA,ORB
PSLV R/B,2016-015B,41385,R/B,,IND,3/10/2016,SRILR,,312.64,17.71,17464,297,2.9901,,EA,ORB
IRNSS-1G,2016-027A,41469,PAY,P,IND,4/28/2016,SRILR,,1436.02,4.75,35796,35774,8.5592,,EA,ORB
PSLV R/B,2016-027B,41470,R/B,,IND,4/28/2016,SRILR,,342.69,17.81,19378,309,2.0861,,EA,ORB
CARTOSAT-2C,2016-040A,41599,PAY,+,IND,6/22/2016,SRILR,,94.79,97.48,516,501,1.9953,,EA,ORB
SATHYABAMASAT,2016-040B,41600,PAY,D,IND,6/22/2016,SRILR,7/9/2023,87.39,97.12,155,136,0.062,,EA,IMP
SWAYAM,2016-040J,41607,PAY,D,IND,6/22/2016,SRILR,8/17/2023,87.64,97.11,166,149,0.0301,,EA,IMP
PSLV R/B,2016-040X,41620,R/B,D,IND,6/22/2016,SRILR,5/19/2023,87.4,97.5,154,137,6.7064,,EA,IMP
PSLV DEB,2016-040Y,41621,DEB,D,IND,6/22/2016,SRILR,10/17/2022,87.7,97.2,169,153,5.3409,,EA,IMP
INSAT-3DR,2016-054A,41752,PAY,+,IND,9/8/2016,SRILR,,1436.1,0.11,35846,35727,8.2903,,EA,ORB
GSLV R/B,2016-054B,41753,R/B,D,IND,9/8/2016,SRILR,4/29/2019,89.05,20.55,356,98,6.7662,,EA,IMP
PRATHAM,2016-059A,41783,PAY,-,IND,9/26/2016,SRILR,,98.17,97.83,694,648,0.0903,,EA,ORB
PISAT,2016-059B,41784,PAY,+,IND,9/26/2016,SRILR,,98.06,97.82,687,644,0.145,,EA,ORB
SCATSAT 1,2016-059H,41790,PAY,+,IND,9/26/2016,SRILR,,97.37,98.15,672,593,1.7214,,EA,ORB
PSLV R/B,2016-059J,41791,R/B,,IND,9/26/2016,SRILR,,98.4,97.84,712,653,6.855,,EA,ORB
PSLV DEB,2016-059K,41792,DEB,,IND,9/26/2016,SRILR,,97.41,97.79,650,619,5.5058,,EA,ORB
